ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-6159N|uniprotkb:P0CE47	DIP-10727N|refseq:NP_415602|uniprotkb:P21513	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51003E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10727N|refseq:NP_415602|uniprotkb:P21513	DIP-10733N|refseq:NP_418600|uniprotkb:P21499	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51004E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10745N|refseq:NP_289880|uniprotkb:P02388	DIP-10840N|refseq:NP_414640|uniprotkb:P10408	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51138E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10920N|refseq:NP_417071|uniprotkb:P21507	DIP-10745N|refseq:NP_289880|uniprotkb:P02388	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51139E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10745N|refseq:NP_289880|uniprotkb:P02388	DIP-10733N|refseq:NP_418600|uniprotkb:P21499	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51141E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10775N|refseq:NP_290009|uniprotkb:P00580	DIP-6873N|refseq:NP_312937|uniprotkb:P00575	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51229E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6873N|refseq:NP_312937|uniprotkb:P00575	DIP-10777N|refseq:NP_417221|uniprotkb:P13445	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51230E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-6873N|refseq:NP_312937|uniprotkb:P00575	DIP-11179N|uniprotkb:P45567	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51242E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10773N|refseq:NP_417539|uniprotkb:P00579	DIP-10782N|uniprotkb:P02358	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51294E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10776N|refseq:NP_417669|uniprotkb:P24255	DIP-12897N|refseq:NP_417616|uniprotkb:P45464	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51312E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10733N|refseq:NP_418600|uniprotkb:P21499	DIP-10848N|refseq:NP_418047|uniprotkb:P14081	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51431E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-28070N|uniprotkb:Q46877	DIP-10840N|refseq:NP_414640|uniprotkb:P10408	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51379E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-9220N|refseq:NP_415296|uniprotkb:P12996	DIP-10840N|refseq:NP_414640|uniprotkb:P10408	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51380E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10840N|refseq:NP_414640|uniprotkb:P10408	DIP-10244N|refseq:NP_416404|uniprotkb:P09348	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51386E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10840N|refseq:NP_414640|uniprotkb:P10408	DIP-11440N|refseq:NP_415342|uniprotkb:P75791	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51394E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10848N|refseq:NP_418047|uniprotkb:P14081	DIP-10752N|refseq:NP_417760|uniprotkb:P02413	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51415E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10848N|refseq:NP_418047|uniprotkb:P14081	DIP-10782N|uniprotkb:P02358	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51427E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10848N|refseq:NP_418047|uniprotkb:P14081	DIP-11585N|refseq:NP_415785|uniprotkb:P37765	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51432E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10460N|refseq:NP_418289|uniprotkb:P21165	DIP-10721N|refseq:NP_417085|uniprotkb:P33643	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0914(association)	MI:0465(dip)	DIP-51446E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-9460N|refseq:NP_414556|uniprotkb:P08622	DIP-10738N|uniprotkb:P0CG19	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51098E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10840N|refseq:NP_414640|uniprotkb:P10408	DIP-9025N|refseq:NP_417313|uniprotkb:P31119	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51378E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-2896N|refseq:NP_415427|uniprotkb:P23721	DIP-10848N|refseq:NP_418047|uniprotkb:P14081	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51436E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10455N|refseq:NP_417018|uniprotkb:P37095	DIP-10773N|refseq:NP_417539|uniprotkb:P00579	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51278E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-12132N|refseq:NP_417248|uniprotkb:Q46906	DIP-10772N|refseq:NP_290619|uniprotkb:P00577	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51273E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11019N|refseq:NP_290548|uniprotkb:P04790	DIP-12058N|refseq:NP_311472|uniprotkb:P33633	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51868E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-12744N|refseq:NP_415928|uniprotkb:P76092	DIP-10919N|refseq:NP_417187|uniprotkb:P15082	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51555E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11627N|refseq:NP_415876|uniprotkb:P76064	DIP-10919N|refseq:NP_417187|uniprotkb:P15082	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51578E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10920N|refseq:NP_417071|uniprotkb:P21507	DIP-6159N|uniprotkb:P0CE47	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51591E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10920N|refseq:NP_417071|uniprotkb:P21507	DIP-11585N|refseq:NP_415785|uniprotkb:P37765	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51593E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10562N|refseq:NP_418370|uniprotkb:P17888	DIP-364N|refseq:NP_313068|uniprotkb:P02339	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0676(tandem affinity purification)	-	pubmed:15576682|pubmed:DIP-4190S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-51603E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-11012N|refseq:NP_416277|uniprotkb:P14294	DIP-364N|refseq:NP_313068|uniprotkb:P02339	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51623E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10936N|refseq:NP_286443|uniprotkb:P07016	DIP-10935N|refseq:NP_308778|uniprotkb:P07015	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51662E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11847N|refseq:NP_416429|uniprotkb:P76316	DIP-10936N|refseq:NP_286443|uniprotkb:P07016	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51666E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10971N|uniprotkb:P11868	DIP-6863N|refseq:NP_416540|uniprotkb:P37747	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51683E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11033N|refseq:NP_418162|uniprotkb:P25522	DIP-11033N|refseq:NP_418162|uniprotkb:P25522	-	-	-	-	MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)|MI:0042(electron paramagnetic resonance)	-	pubmed:19806182|pubmed:DIP-12432S|pubmed:19806182|pubmed:DIP-12432S|pubmed:19806182|pubmed:DIP-12432S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-51718E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-10840N|refseq:NP_414640|uniprotkb:P10408	DIP-11033N|refseq:NP_418162|uniprotkb:P25522	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51737E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10654N|refseq:NP_417368|uniprotkb:P21893	DIP-11011N|refseq:NP_415790|uniprotkb:P06612	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51803E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11011N|refseq:NP_415790|uniprotkb:P06612	DIP-6872N|refseq:NP_289856|uniprotkb:P00574	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:12788950|pubmed:DIP-4242S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-51813E	dip-quality-status:core	dip:0002(small scale)|dip:0005(high throughput)		-
DIP-11011N|refseq:NP_415790|uniprotkb:P06612	DIP-10772N|refseq:NP_290619|uniprotkb:P00577	 -	-	-	-	MI:0401(biochemical)|MI:0004(affinity chromatography technology)|MI:0049(filter binding)|MI:0004(affinity chromatography technology)|MI:0676(tandem affinity purification)	-	pubmed:12788950|pubmed:DIP-4242S|pubmed:10322021|pubmed:DIP-4243S|pubmed:12788950|pubmed:DIP-4242S|pubmed:12788950|pubmed:DIP-4242S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-51815E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0005(high throughput)		-
DIP-11585N|refseq:NP_415785|uniprotkb:P37765	DIP-11011N|refseq:NP_415790|uniprotkb:P06612	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51828E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-10920N|refseq:NP_417071|uniprotkb:P21507	DIP-11011N|refseq:NP_415790|uniprotkb:P06612	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:19402753|pubmed:DIP-12313S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51824E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11012N|refseq:NP_416277|uniprotkb:P14294	DIP-11011N|refseq:NP_415790|uniprotkb:P06612	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51826E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-11012N|refseq:NP_416277|uniprotkb:P14294	DIP-9031N|refseq:NP_415852|uniprotkb:P46133	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0363(inferred by author)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51857E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-12901N|refseq:NP_417620|uniprotkb:P45468	DIP-11073N|refseq:NP_416921|uniprotkb:P37440	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51942E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-9081N|refseq:NP_415933|uniprotkb:P25553	DIP-11099N|refseq:NP_415469|uniprotkb:P43672	 -	-	-	-	MI:0363(inferred by author)|MI:0676(tandem affinity purification)|MI:0676(tandem affinity purification)	-	pubmed:19402753|pubmed:DIP-12313S|pubmed:19402753|pubmed:DIP-12313S|pubmed:15690043|pubmed:DIP-4168S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-51959E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)|dip:0005(high throughput)		-
