ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-17215N|refseq:NP_651671	DIP-20245N|refseq:NP_612101	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103783E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20765N|refseq:NP_612020	DIP-17215N|refseq:NP_651671	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103784E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48828N|refseq:NP_612100|uniprotkb:Q9W0G7	DIP-17215N|refseq:NP_651671	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103785E	dip-quality-status:core	dip:0004(small scale)		-
DIP-18071N|refseq:NP_609902|uniprotkb:Q86LC4	DIP-17215N|refseq:NP_651671	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103786E	dip-quality-status:core	dip:0004(small scale)		-
DIP-31259N|uniprotkb:Q14160	DIP-21094N|refseq:NP_477497|uniprotkb:P33450	 -	-	-	-	MI:0096(pull down)	-	pubmed:19439659|pubmed:DIP-12794S	taxid:9606(Homo sapiens)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103836E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48890N|refseq:NP_523832|uniprotkb:Q9W1I2	DIP-48889N|refseq:NP_476800|uniprotkb:P22745	 -	-	-	-	MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0018(two hybrid)|MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19556547|pubmed:DIP-16596S|pubmed:19556547|pubmed:DIP-16596S|pubmed:19470484|pubmed:DIP-12801S|pubmed:19470484|pubmed:DIP-12801S|pubmed:19470484|pubmed:DIP-12801S|pubmed:19470484|pubmed:DIP-12801S|pubmed:25119050|pubmed:DIP-16961S|pubmed:19556547|pubmed:DIP-16596S|pubmed:19556547|pubmed:DIP-16596S|pubmed:19470484|pubmed:DIP-12801S|pubmed:25119050|pubmed:DIP-16961S|pubmed:19470484|pubmed:DIP-12801S|pubmed:25119050|pubmed:DIP-16961S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103854E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48905N|refseq:NP_651288|uniprotkb:Q9VC36	DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103953E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-18533N|refseq:NP_610216	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103956E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-48906N|refseq:NP_476957|uniprotkb:P49846	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-103959E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-20488N|refseq:NP_609531	DIP-48826N|refseq:NP_610785|uniprotkb:Q7K4B4	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103907E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20488N|refseq:NP_609531	DIP-17215N|refseq:NP_651671	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103908E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48827N|refseq:NP_611533|uniprotkb:Q9W2P0	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103909E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20488N|refseq:NP_609531	DIP-48828N|refseq:NP_612100|uniprotkb:Q9W0G7	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103910E	dip-quality-status:core	dip:0004(small scale)		-
DIP-19479N|refseq:NP_524614|uniprotkb:P13469	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103911E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20116N|refseq:NP_572150	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103912E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20245N|refseq:NP_612101	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103913E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20488N|refseq:NP_609531	DIP-20283N|refseq:NP_523791|uniprotkb:Q9V8R9	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103914E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20786N|refseq:NP_649297	DIP-20488N|refseq:NP_609531	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103915E	dip-quality-status:core	dip:0004(small scale)		-
DIP-20488N|refseq:NP_609531	DIP-48829N|uniprotkb:O61491	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19369198|pubmed:DIP-12773S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-103916E	dip-quality-status:core	dip:0004(small scale)		-
DIP-23028N|refseq:NP_524453|uniprotkb:Q9VCU9	DIP-18402N|refseq:NP_650098	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19805217|pubmed:DIP-12871S|pubmed:19805217|pubmed:DIP-12871S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104051E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-228N|uniprotkb:P51123	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104077E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104081E	dip-quality-status:core	dip:0004(small scale)		-
DIP-228N|uniprotkb:P51123	DIP-239N|refseq:NP_523391|uniprotkb:Q27272	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104110E	dip-quality-status:core	dip:0004(small scale)		-
DIP-34806N|uniprotkb:Q9V847	DIP-18402N|refseq:NP_650098	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19805217|pubmed:DIP-12871S|pubmed:19805217|pubmed:DIP-12871S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104050E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-20383N|refseq:NP_651894	DIP-17500N|refseq:NP_524407|uniprotkb:P06002	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19805114|pubmed:DIP-12896S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104128E	dip-quality-status:core	dip:0004(small scale)		-
DIP-17500N|refseq:NP_524407|uniprotkb:P06002	DIP-48981N|refseq:NP_609611|uniprotkb:Q9VK27	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19805114|pubmed:DIP-12896S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104129E	dip-quality-status:core	dip:0004(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-17716N|refseq:NP_524187|uniprotkb:P10734	 -	-	-	-	MI:0096(pull down)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)|MI:0096(pull down)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19805071|pubmed:DIP-12903S|pubmed:19805071|pubmed:DIP-12903S|pubmed:19805071|pubmed:DIP-12903S|pubmed:19805071|pubmed:DIP-12903S|pubmed:19805071|pubmed:DIP-12903S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104159E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104079E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-48906N|refseq:NP_476957|uniprotkb:P49846	DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104080E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-23232N|refseq:NP_523397	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104082E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-23232N|refseq:NP_523397	DIP-48905N|refseq:NP_651288|uniprotkb:Q9VC36	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104083E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	DIP-23232N|refseq:NP_523397	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104084E	dip-quality-status:core	dip:0004(small scale)		-
DIP-23232N|refseq:NP_523397	DIP-48906N|refseq:NP_476957|uniprotkb:P49846	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104085E	dip-quality-status:core	dip:0004(small scale)		-
DIP-23232N|refseq:NP_523397	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104086E	dip-quality-status:core	dip:0004(small scale)		-
DIP-18533N|refseq:NP_610216	DIP-48906N|refseq:NP_476957|uniprotkb:P49846	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104087E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-80N|refseq:NP_523805|uniprotkb:P20227	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104088E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-18831N|refseq:NP_610024	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104090E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-19823N|refseq:NP_651923	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104091E	dip-quality-status:core	dip:0004(small scale)		-
DIP-36728N|uniprotkb:P25439	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104092E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-255N|refseq:NP_729571|uniprotkb:Q24325	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104093E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-36731N|uniprotkb:Q9BIW6	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104094E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104095E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-778N|refseq:NP_524161|uniprotkb:P49847	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104096E	dip-quality-status:core	dip:0004(small scale)		-
DIP-17350N|refseq:NP_511143	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104097E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-23089N|refseq:NP_649748|uniprotkb:Q9VHY5	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104098E	dip-quality-status:core	dip:0004(small scale)		-
DIP-38883N|refseq:NP_611209|uniprotkb:Q7K012	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104099E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	DIP-17554N|refseq:NP_730935|uniprotkb:Q24090	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104100E	dip-quality-status:core	dip:0004(small scale)		-
DIP-239N|refseq:NP_523391|uniprotkb:Q27272	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104101E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-48907N|refseq:NP_649594|uniprotkb:Q9VNI8	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104102E	dip-quality-status:core	dip:0004(small scale)		-
DIP-21647N|refseq:NP_652608	DIP-48904N|refseq:NP_608334|uniprotkb:Q9VWF2	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104103E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48906N|refseq:NP_476957|uniprotkb:P49846	DIP-48905N|refseq:NP_651288|uniprotkb:Q9VC36	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104104E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48905N|refseq:NP_651288|uniprotkb:Q9VC36	DIP-237N|uniprotkb:P47825	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104105E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48905N|refseq:NP_651288|uniprotkb:Q9VC36	DIP-228N|uniprotkb:P51123	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-104106E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)		-
DIP-38882N|refseq:NP_524373|uniprotkb:Q9VF03	DIP-228N|uniprotkb:P51123	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104107E	dip-quality-status:core	dip:0004(small scale)		-
DIP-48906N|refseq:NP_476957|uniprotkb:P49846	DIP-228N|uniprotkb:P51123	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:19541607|pubmed:DIP-12811S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-104108E	dip-quality-status:core	dip:0004(small scale)		-
